corvid::Value	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Null	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Bool	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Int	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Float	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Text	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Bytes	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Array	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Map	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::Value::Vector	WHERE	MAPPED	the Swift value mapping (nil/Bool/Int/Double/String/Data/[Float]/[Any?]/[String: Any?])	golden:values.txt:VTYPE
corvid::value::MAX_NESTING	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::encode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::decode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::get	WHERE	N/A	N/A	nested-path reads are native map/list traversal
corvid::Value::get_path	WHERE	N/A	N/A	nested-path reads are native map/list traversal
corvid::Value::as_bool	WHERE	N/A	N/A	documents decode to native Kotlin values; typed accessors are native-language operations
corvid::Value::as_int	WHERE	N/A	N/A	documents decode to native Kotlin values; typed accessors are native-language operations
corvid::Value::as_float	WHERE	N/A	N/A	documents decode to native Kotlin values; typed accessors are native-language operations
corvid::Value::as_text	WHERE	N/A	N/A	documents decode to native Kotlin values; typed accessors are native-language operations
corvid::Value::as_bytes	WHERE	N/A	N/A	documents decode to native Kotlin values; typed accessors are native-language operations
corvid::Value::as_vector	WHERE	N/A	N/A	documents decode to native Kotlin values; typed accessors are native-language operations
corvid::CmpOp	WHERE	MAPPED	FieldExpr.eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Eq	WHERE	MAPPED	FieldExpr.eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Ne	WHERE	MAPPED	FieldExpr.eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Lt	WHERE	MAPPED	FieldExpr.eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Le	WHERE	MAPPED	FieldExpr.eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Gt	WHERE	MAPPED	FieldExpr.eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Ge	WHERE	MAPPED	FieldExpr.eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::Predicate	WHERE	MAPPED	Predicate via field()/Predicate.not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Compare	WHERE	MAPPED	Predicate via field()/Predicate.not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
